Drug,Interaction_Text,Risk_Level
lepirudin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include chamomile, garlic, ginger, ginkgo and ginseng.",High
bivalirudin,avoid echinacea.,High
bivalirudin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
peginterferon alfa-2a,drink plenty of fluids.,Low
alteplase,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
interferon alfa-n1,avoid alcohol.,High
darbepoetin alfa,"administer iron supplement. when initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.",Low
urokinase,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
reteplase,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
erythropoietin,"administer iron supplement. when initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.",Low
salmon calcitonin,administer calcium supplement. individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should ingest at least 1000mg of elemental calcium daily (by food or through supplementation).,Low
salmon calcitonin,administer vitamin supplements. individuals who are taking salmon calcitonin for the treatment of postmenopausal osteoporosis should take at least 400 international units of vitamin d daily.,Low
peginterferon alfa-2b,limit caffeine intake. peginterferon alfa-2b can increase the serum levels of caffeine by inhibiting its metabolism through the cyp1a2 pathway.,Moderate
anistreplase,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
insulin human,avoid alcohol. alcohol may impair blood glucose control.,High
tenecteplase,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
interferon gamma-1b,"avoid excessive or chronic alcohol consumption. interferon gamma-1b may cause fatigue, drowsiness, and confusion. these effects may be exacerbated by alcohol consumption.",High
interferon alfa-2a,avoid alcohol.,High
abciximab,"avoid herbs and supplements with anticoagulant/antiplatelet activity. additive antiplatelet activity may increase the risk of bleeding. examples include ginseng, ginkgo, ginger, and garlic.",High
drotrecogin alfa,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
pegaspargase,"avoid excessive or chronic alcohol consumption. alcohol and pegaspargase can both cause hepatoxicity, therefore if they are used together they may have additive hepatoxic effects.",High
